Node	# Physical Cores	CPU	RAM	Local `/scratch`	Local `/tmp`
cc-hmid1	24	Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz	512 GiB	1.4 TiB	4.0 GiB
cc-id1	24	Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz	256 GiB	1.4 TiB	4.0 GiB
cc-id2	24	Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz	256 GiB	1.4 TiB	4.0 GiB
cc-id3	24	Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz	256 GiB	1.4 TiB	4.0 GiB
cc-idgpu3	20	Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz	96 GiB	1.8 TiB	4.0 GiB
cc-idgpu4	20	Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz	96 GiB	1.8 TiB	4.0 GiB
cc-idgpu5	28	Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz	384 GiB	1.8 TiB	8.0 GiB
msg-hmio2	16	Intel(R) Xeon(R) CPU E5-2667 v3 @ 3.20GHz	768 GiB	0.3 TiB	4.0 GiB
msg-hmio3	16	Intel(R) Xeon(R) CPU E5-2667 v3 @ 3.20GHz	768 GiB	0.3 TiB	4.0 GiB
msg-id1	20	Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz	256 GiB	0.4 TiB	4.0 GiB
msg-id2	20	Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz	256 GiB	0.4 TiB	4.0 GiB
msg-id3	20	Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz	256 GiB	0.4 TiB	4.0 GiB
msg-id4	20	Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz	256 GiB	0.4 TiB	4.0 GiB
msg-id5	20	Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz	256 GiB	0.4 TiB	4.0 GiB
msg-id6	20	Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz	256 GiB	0.4 TiB	4.0 GiB
msg-id7	20	Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz	256 GiB	0.4 TiB	4.0 GiB
msg-id8	20	Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz	256 GiB	0.4 TiB	4.0 GiB
msg-id9	20	Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz	256 GiB	0.4 TiB	4.0 GiB
msg-id11	20	Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz	256 GiB	0.4 TiB	4.0 GiB
msg-id12	20	Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz	256 GiB	0.4 TiB	4.0 GiB
msg-id13	20	Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz	256 GiB	0.4 TiB	4.0 GiB
msg-id14	20	Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz	256 GiB	0.4 TiB	4.0 GiB
msg-id15	20	Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz	256 GiB	0.4 TiB	4.0 GiB
msg-id16	20	Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz	256 GiB	0.4 TiB	4.0 GiB
msg-id17	24	Intel(R) Xeon(R) CPU E5-2690 v3 @ 2.60GHz	256 GiB	0.3 TiB	4.0 GiB
msg-id18	24	Intel(R) Xeon(R) CPU E5-2690 v3 @ 2.60GHz	256 GiB	0.3 TiB	4.0 GiB
msg-id19	24	Intel(R) Xeon(R) CPU E5-2690 v3 @ 2.60GHz	256 GiB	0.3 TiB	4.0 GiB
msg-id20	24	Intel(R) Xeon(R) CPU E5-2690 v3 @ 2.60GHz	256 GiB	0.3 TiB	4.0 GiB
msg-id21	24	Intel(R) Xeon(R) CPU E5-2690 v3 @ 2.60GHz	256 GiB	0.3 TiB	4.0 GiB
msg-id22	24	Intel(R) Xeon(R) CPU E5-2690 v3 @ 2.60GHz	256 GiB	0.3 TiB	4.0 GiB
msg-id23	24	Intel(R) Xeon(R) CPU E5-2690 v3 @ 2.60GHz	256 GiB	0.3 TiB	4.0 GiB
