# Created by: Henrik Bengtsson
# Created on: 2020-05-24 23:25:42 PDT
# Number of hosts: 340
# Number of cores: 7248
Node	Physical Cores	RAM	Local `/scratch`	Local `/tmp`	CPU
cc-hmid1	20	256 GiB	0.4 TiB	4.0 GiB	Intel Xeon E5-2680 v2 2.80GHz
cc-id1	20	256 GiB	0.4 TiB	4.0 GiB	Intel Xeon E5-2680 v2 2.80GHz
cc-id2	20	256 GiB	0.4 TiB	4.0 GiB	Intel Xeon E5-2680 v2 2.80GHz
cc-id3	24	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
cc-idgpu1	24	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
cc-idgpu3	24	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
cc-idgpu4	24	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
cc-idgpu5	24	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
mac-id1	24	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
mac-id2	24	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
mac-id3	24	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
mac-id4	12	48 GiB	0.5 TiB	4.0 GiB	Intel Xeon X5650 2.67GHz
mac-id5	16	128 GiB	0.8 TiB	4.0 GiB	Intel Xeon E5-2670 0 2.60GHz
mac-id6	24	96 GiB	0.1 TiB	8.0 GiB	AMD Opteron 6174
mac-id7	24	96 GiB	0.1 TiB	8.0 GiB	AMD Opteron 6174
mac-id8	24	96 GiB	0.1 TiB	8.0 GiB	AMD Opteron 6174
mac-inst-hmid1	20	96 GiB	1.8 TiB	8.0 GiB	Intel Xeon Silver 4114 2.20GHz
mac-inst-id1	28	384 GiB	0.9 TiB	4.0 GiB	Intel Xeon Gold 6132 2.60GHz
mac-inst-id2	28	256 GiB	0.9 TiB	8.0 GiB	Intel Xeon E5-2680 v4 2.40GHz
mac-inst-id3	28	256 GiB	0.9 TiB	8.0 GiB	Intel Xeon E5-2680 v4 2.40GHz
msg-hmio2	28	256 GiB	0.9 TiB	8.0 GiB	Intel Xeon E5-2680 v4 2.40GHz
msg-hmio3	16	384 GiB	0.8 TiB	8.0 GiB	Intel Xeon Gold 6134 3.20GHz
msg-id1	16	384 GiB	0.8 TiB	8.0 GiB	Intel Xeon Gold 6134 3.20GHz
msg-id2	16	384 GiB	0.8 TiB	8.0 GiB	Intel Xeon Gold 6134 3.20GHz
msg-id3	24	512 GiB	1.4 TiB	4.0 GiB	Intel Xeon E5-2680 v3 2.50GHz
msg-id4	24	256 GiB	1.4 TiB	4.0 GiB	Intel Xeon E5-2680 v3 2.50GHz
msg-id5	24	256 GiB	1.4 TiB	4.0 GiB	Intel Xeon E5-2680 v3 2.50GHz
msg-id6	24	256 GiB	1.4 TiB	4.0 GiB	Intel Xeon E5-2680 v3 2.50GHz
msg-id7	20	96 GiB	1.8 TiB	4.0 GiB	Intel Xeon Silver 4114 2.20GHz
msg-id8	20	96 GiB	1.8 TiB	4.0 GiB	Intel Xeon Silver 4114 2.20GHz
msg-id9	28	384 GiB	1.8 TiB	8.0 GiB	Intel Xeon Gold 6132 2.60GHz
msg-id11	28	384 GiB	0.9 TiB	4.0 GiB	Intel Xeon Gold 6132 2.60GHz
msg-id12	28	384 GiB	0.9 TiB	4.0 GiB	Intel Xeon Gold 6132 2.60GHz
msg-id13	28	384 GiB	0.9 TiB	4.0 GiB	Intel Xeon Gold 6132 2.60GHz
msg-id14	28	384 GiB	0.9 TiB	4.0 GiB	Intel Xeon Gold 6132 2.60GHz
msg-id15	28	384 GiB	0.9 TiB	4.0 GiB	Intel Xeon Gold 6132 2.60GHz
msg-id16	28	384 GiB	0.9 TiB	4.0 GiB	Intel Xeon Gold 6132 2.60GHz
msg-id17	28	384 GiB	0.9 TiB	4.0 GiB	Intel Xeon Gold 6132 2.60GHz
msg-id18	24	256 GiB	1.4 TiB	4.0 GiB	Intel Xeon E5-2680 v3 2.50GHz
msg-id19	24	256 GiB	1.4 TiB	4.0 GiB	Intel Xeon E5-2680 v3 2.50GHz
msg-id20	24	256 GiB	1.4 TiB	4.0 GiB	Intel Xeon E5-2680 v3 2.50GHz
msg-id21	16	768 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2667 v3 3.20GHz
msg-id22	20	256 GiB	0.4 TiB	4.0 GiB	Intel Xeon E5-2680 v2 2.80GHz
msg-id23	20	256 GiB	0.4 TiB	4.0 GiB	Intel Xeon E5-2680 v2 2.80GHz
msg-id24	20	256 GiB	0.4 TiB	4.0 GiB	Intel Xeon E5-2680 v2 2.80GHz
msg-id25	20	256 GiB	0.4 TiB	4.0 GiB	Intel Xeon E5-2680 v2 2.80GHz
msg-id26	20	256 GiB	0.4 TiB	4.0 GiB	Intel Xeon E5-2680 v2 2.80GHz
msg-id27	20	256 GiB	0.4 TiB	4.0 GiB	Intel Xeon E5-2680 v2 2.80GHz
msg-id28	20	256 GiB	0.4 TiB	4.0 GiB	Intel Xeon E5-2680 v2 2.80GHz
msg-id29	20	256 GiB	0.4 TiB	4.0 GiB	Intel Xeon E5-2680 v2 2.80GHz
msg-id30	20	256 GiB	0.4 TiB	4.0 GiB	Intel Xeon E5-2680 v2 2.80GHz
msg-id31	20	256 GiB	0.4 TiB	4.0 GiB	Intel Xeon E5-2680 v2 2.80GHz
msg-id32	20	256 GiB	0.4 TiB	4.0 GiB	Intel Xeon E5-2680 v2 2.80GHz
msg-id33	24	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
msg-id34	24	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
msg-id35	24	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
msg-id36	24	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
msg-id37	24	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
msg-id38	24	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
msg-id39	24	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
msg-ihgpu1	24	256 GiB	0.4 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
msg-ihgpu2	24	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
msg-ihgpu3	24	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
msg-ihgpu4	24	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
msg-ihgpu5	24	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
msg-ihgpu6	24	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
msg-ihgpu7	24	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
msg-ihgpu8	24	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
msg-iogpu1	24	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2690 v3 2.60GHz
msg-iogpu2	12	48 GiB	0.5 TiB	4.0 GiB	Intel Xeon X5650 2.67GHz
msg-iogpu3	12	48 GiB	0.5 TiB	4.0 GiB	Intel Xeon X5650 2.67GHz
msg-iogpu4	12	48 GiB	0.5 TiB	4.0 GiB	Intel Xeon X5650 2.67GHz
msg-iogpu5	12	48 GiB	0.5 TiB	8.0 GiB	Intel Xeon X5650 2.67GHz
msg-iogpu6	12	48 GiB	0.5 TiB	8.0 GiB	Intel Xeon X5650 2.67GHz
msg-iogpu7	12	256 GiB	0.4 TiB	8.0 GiB	Intel Xeon E5-2643 v4 3.40GHz
msg-iogpu8	12	256 GiB	0.4 TiB	8.0 GiB	Intel Xeon E5-2643 v4 3.40GHz
msg-iogpu9	12	256 GiB	0.4 TiB	8.0 GiB	Intel Xeon E5-2643 v4 3.40GHz
msg-iogpu10	16	128 GiB	0.4 TiB	4.0 GiB	Intel Xeon E5-2670 0 2.60GHz
msg-iogpu11	16	128 GiB	0.4 TiB	4.0 GiB	Intel Xeon E5-2670 0 2.60GHz
msg-iogpu12	16	128 GiB	1.8 TiB	4.0 GiB	Intel Xeon E5-2670 0 2.60GHz
msg-iogpu13	16	128 GiB	0.4 TiB	4.0 GiB	Intel Xeon E5-2670 0 2.60GHz
qb3-ad1	16	128 GiB	0.4 TiB	4.0 GiB	Intel Xeon E5-2670 0 2.60GHz
qb3-ad2	16	128 GiB	0.8 TiB	4.0 GiB	Intel Xeon E5-2670 0 2.60GHz
qb3-ad3	16	128 GiB	0.8 TiB	4.0 GiB	Intel Xeon E5-2670 0 2.60GHz
qb3-ad4	16	128 GiB	0.8 TiB	4.0 GiB	Intel Xeon E5-2670 0 2.60GHz
qb3-ad5	16	256 GiB	1.1 TiB	4.0 GiB	Intel Xeon E5-2620 v4 2.10GHz
qb3-ad6	16	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2620 v4 2.10GHz
qb3-ad7	16	256 GiB	0.3 TiB	4.0 GiB	Intel Xeon E5-2620 v4 2.10GHz
qb3-ad8	24	96 GiB	0.1 TiB	8.0 GiB	AMD Opteron 6174
qb3-ad9	24	96 GiB	0.1 TiB	8.0 GiB	AMD Opteron 6174
qb3-ad10	24	96 GiB	0.1 TiB	8.0 GiB	AMD Opteron 6174
qb3-id2	24	96 GiB	0.1 TiB	8.0 GiB	AMD Opteron 6174
qb3-id3	24	96 GiB	0.1 TiB	8.0 GiB	AMD Opteron 6174
qb3-id4	24	96 GiB	0.1 TiB	8.0 GiB	AMD Opteron 6174
qb3-id5	24	96 GiB	0.1 TiB	8.0 GiB	AMD Opteron 6174
qb3-id6	24	96 GiB	0.1 TiB	8.0 GiB	AMD Opteron 6174
qb3-id8	24	256 GiB	1.4 TiB	4.0 GiB	Intel Xeon E5-2680 v3 2.50GHz
qb3-id9	24	256 GiB	1.4 TiB	4.0 GiB	Intel Xeon E5-2680 v3 2.50GHz
qb3-id10	24	256 GiB	0.9 TiB	8.0 GiB	Intel Xeon E5-2680 v3 2.50GHz
qb3-id11	24	256 GiB	0.9 TiB	8.0 GiB	Intel Xeon E5-2680 v3 2.50GHz
qb3-id12	24	256 GiB	0.9 TiB	8.0 GiB	Intel Xeon E5-2680 v3 2.50GHz
